,id,plus,minus
0,role_160325,68,3
1,role_1928641,37,0
2,role_1966145,32,1
3,role_1973000,32,1
4,role_1973001,33,1
5,role_1973002,34,0
6,role_1973003,35,1
7,role_1973005,35,1
8,role_1973007,36,1
9,role_1973008,33,1
10,role_1973010,43,7
11,role_1973011,53,4
12,role_2088754,38,1
13,role_16800,185,4
14,role_16801,125,28
15,role_16803,149,12
16,role_16802,171,11
17,role_16804,156,5
18,role_56008,122,10
19,role_62460,120,4
20,role_72744,137,3
21,role_83813,55,3
22,role_89473,118,24
23,role_124124,146,6
24,role_132138,151,4
25,role_132139,129,5
26,role_132140,91,5
27,role_132141,85,6
28,role_132143,12,1
