,id,name,role,desc,plus,minus,rating
0,role_16801,Лидия Федосеева-Шукшина,Королева Флора — главная роль,жена короля Теодора,125,28,97
1,role_16800,Вячеслав Невинный,Король Теодор — главная роль,,185,4,181
2,role_16803,Игорь Красавин,Патрик — главная роль,воспитанник королевы,149,12,137
3,role_16802,Варвара Владимирова,Альбина,,171,11,160
4,role_89473,Светлана Селезнёва,Марселла,служанка,118,24,94
5,role_124124,Регина Разума,Оттилия,"сестра королевы Флоры, тетка Альбины",146,6,140
6,role_16804,Альберт Филозов,Канцлер граф Давиль,,156,5,151
7,role_132138,Артём Тынкасов,Пенапью,"принц государства Пенагония, сын короля Гедеона",151,4,147
8,role_56008,Елена Антонова,Марта Веснушка,актриса бродячей труппы,122,10,112
9,role_132139,Владимир Ставицкий,Жак Веснушка,странствующий артист,129,5,124
10,role_72744,Анатолий Рудаков,Удилак,"полковник, доверенное лицо короля Теодора",137,3,134
11,role_132140,Юрий Багинян,Лысый Лакей,личный шпион Канцлера во дворце,91,5,86
12,role_62460,Александр Денисов,Разбойник,"лесной мачо, предводитель разбойников",120,4,116
13,role_132141,Валентин Букин,Хозяин таверны,доносчик,85,6,79
14,role_83813,Анатолий Голуб,,,55,3,52
15,role_132143,Вика Яблонская,Ника,"маленькая девочка, ""подружка"" Пенапью.",12,1,11
16,role_1973001,Дмитрий Диджиокас,эпизод,,33,1,32
17,role_1973002,Владимир Зубенко,музыкант,,34,0,34
18,role_1973003,Владимир Корпусь,жандарм,,35,1,34
19,role_1966145,Ивар Кумник,эпизод,,32,1,31
20,role_1973005,Анна Маланкина,эпизод,,35,1,34
21,role_1973000,Валерий Мороз,эпизод,,32,1,31
22,role_160325,Леонид Нечаев,точильщик ножей,,68,3,65
23,role_1928641,Анна Портная,эпизод,,37,0,37
24,role_1973007,Ростислав Рахт,шарманщик с попугаем,озвучил Игорь Ясулович,36,1,35
25,role_1973008,Юрий Шульга,эпизод,,33,1,32
26,role_2088754,Александр Макарцев,музыкант,,38,1,37
27,role_1973010,Евгений Герчаков,эпизод,(нет в титрах),43,7,36
28,role_1973011,Сергей Дрейден,эпизод,(нет в титрах),53,4,49
